          name           
-------------------------
 Alex Samorodnitsky
 Ami Wiesel
 Amit Daniely
 Amit Zoran
 Amnon Shashua
 Ari Rappoport
 Aviv Zohar
 Dafna Shahaf
 Dani Lischinski
 Danny Dolev
 Daphna Weinshall
 David Hay
 Dina Schneidman-Duhovny
 Dorit Aharonov
 Dror G. Feitelson
 Gabriel Stanovsky
 Gil Segev 0001
 Guy Katz
 Guy Kindler
 Ilan Komargodski
 Jeffrey S. Rosenschein
 Katrina Ligett
 Leo Joskowicz
 Matan Gavish
 Michael Ben-Or
 Michael Schapira
 Michael Werman
 Naftali Tishby
 Nathan Linial
 Nir Friedman
 Noam Nisan
 Oded Schwartz
 Omri Abend
 Omri Weinstein
 Orna Kupferman
 Raanan Fattal
 Roy Schwartz 0001
 Sara Cohen
 Shai Shalev-Shwartz
 Shmuel Peleg
 Tommy Kaplan
 Yair Bartal
 Yair Weiss
 Yedid Hoshen
 Yehoshua Sagiv
 Yossi Gilad
 Yuval Rabani
(47 rows)

