            institution             |            name            
------------------------------------+----------------------------
 Ariel University                   | Amos Azaria
 Ariel University                   | Anat Paskin-Cherniavsky
 Ariel University                   | Boaz Ben-Moshe
 Ariel University                   | Chen Hajaj
 Ariel University                   | Dan Hefetz
 Ariel University                   | Dan Ophir
 Ariel University                   | Eran Omri
 Ariel University                   | Gabriel Nivasch
 Ariel University                   | Kirill Kogan
 Ariel University                   | Lee-Ad Gottlieb
 Ariel University                   | Mira Gonen
 Ariel University                   | Noam Hazon
 Ariel University                   | Ofir Pele
 Bar-Ilan University                | Amihood Amir
 Bar-Ilan University                | Avinatan Hassidim
 Bar-Ilan University                | Benny Pinkas
 Bar-Ilan University                | David Sarne
 Bar-Ilan University                | Doron A. Peled
 Bar-Ilan University                | Ely Porat
 Bar-Ilan University                | Gal A. Kaminka
 Bar-Ilan University                | Gilad Asharov
 Bar-Ilan University                | Ido Dagan
 Bar-Ilan University                | Jacob Goldberger
 Bar-Ilan University                | Joseph Keshet
 Bar-Ilan University                | Liam Roditty
 Bar-Ilan University                | Moshe Koppel
 Bar-Ilan University                | Moshe Lewenstein
 Bar-Ilan University                | Nathan S. Netanyahu
 Bar-Ilan University                | Noa Agmon
 Bar-Ilan University                | Reut Tsarfaty
 Bar-Ilan University                | Sarit Kraus
 Bar-Ilan University                | Shmuel Tomi Klein
 Bar-Ilan University                | Tali Kaufman
 Bar-Ilan University                | Tsvi Kopelowitz
 Bar-Ilan University                | Yael Amsterdamer
 Bar-Ilan University                | Yehuda Lindell
 Bar-Ilan University                | Yoav Goldberg
 Bar-Ilan University                | Yonatan Aumann
 Ben-Gurion University of the Negev | Aharon Bar-Hillel
 Ben-Gurion University of the Negev | Ariel Felner
 Ben-Gurion University of the Negev | Aryeh Kontorovich
 Ben-Gurion University of the Negev | Asaf Shabtai
 Ben-Gurion University of the Negev | Bracha Shapira
 Ben-Gurion University of the Negev | Guy Shani
 Ben-Gurion University of the Negev | Meir Kalech
 Ben-Gurion University of the Negev | Michael Elhadad
 Ben-Gurion University of the Negev | Ohad Ben-Shahar
 Ben-Gurion University of the Negev | Rami Puzis
 Ben-Gurion University of the Negev | Roie Zivan
 Ben-Gurion University of the Negev | Ronen I. Brafman
 Ben-Gurion University of the Negev | Roni Stern
 Ben-Gurion University of the Negev | Sivan Sabato
 Ben-Gurion University of the Negev | Solomon Eyal Shimony
 Ben-Gurion University of the Negev | Ya'akov Gal
 Ben-Gurion University of the Negev | Yossef Oren
 Ben-Gurion University of the Negev | Yuval Elovici
 Hebrew University of Jerusalem     | Alex Samorodnitsky
 Hebrew University of Jerusalem     | Ami Wiesel
 Hebrew University of Jerusalem     | Amit Daniely
 Hebrew University of Jerusalem     | Amit Zoran
 Hebrew University of Jerusalem     | Amnon Shashua
 Hebrew University of Jerusalem     | Ari Rappoport
